            AlgoName,    n, SolCount, VarNb, CstNb, BackTrack,     Fails, ResTime
           A-Classic,    3,        4,     7,     6,         7,         0, 0.0192882
         A-FirstLast,    3,        2,     7,     7,         3,         0, 0.0022399
       A-FirstSecond,    3,        2,     7,     7,         3,         0, 0.0017521
                A-Sh,    3,        2,     7,     7,         3,         0, 0.0019566
            A-Double,    3,        1,     7,     8,         1,         0, 0.001222
           T-Classic,    3,        4,     5,     4,         7,         0, 0.002085799
         T-FirstLast,    3,        2,     5,     5,         3,         0, 0.0016817
       T-FirstSecond,    3,        2,     5,     5,         3,         0, 0.0016145
                T-Sh,    3,        2,     5,     5,         3,         0, 0.0013687
            T-Double,    3,        1,     5,     6,         1,         0, 0.0010594
           A-Classic,    4,        4,    10,     8,        21,         7, 0.0113291
         A-FirstLast,    4,        2,    10,     9,         7,         2, 0.0029844
       A-FirstSecond,    4,        2,    10,     9,         7,         2, 0.004569
                A-Sh,    4,        2,    10,     9,         7,         2, 0.0029398
            A-Double,    4,        1,    10,    10,         5,         2, 0.003195901
           T-Classic,    4,        4,     7,     5,        17,         5, 0.0055562
         T-FirstLast,    4,        2,     7,     6,         7,         2, 0.0032932
       T-FirstSecond,    4,        2,     7,     6,         5,         1, 0.003344201
                T-Sh,    4,        2,     7,     6,         7,         2, 0.0048781
            T-Double,    4,        1,     7,     7,         5,         2, 0.003330099
           A-Classic,    5,        8,    13,    10,        63,        24, 0.0286229
         A-FirstLast,    5,        4,    13,    11,        23,         8, 0.003333899
       A-FirstSecond,    5,        4,    13,    11,        19,         6, 0.003965499
                A-Sh,    5,        4,    13,    11,        35,        14, 0.0048223
            A-Double,    5,        2,    13,    12,        19,         8, 0.003425201
           T-Classic,    5,        8,     9,     6,        53,        19, 0.0070163
         T-FirstLast,    5,        4,     9,     7,        29,        11, 0.0042077
       T-FirstSecond,    5,        4,     9,     7,        25,         9, 0.0031768
                T-Sh,    5,        4,     9,     7,        19,         6, 0.004669601
            T-Double,    5,        2,     9,     8,        27,        12, 0.0038482
           A-Classic,    6,       24,    16,    12,       167,        60, 0.0167207
         A-FirstLast,    6,       12,    16,    13,        99,        38, 0.0100287
       A-FirstSecond,    6,       12,    16,    13,       109,        43, 0.008363799
                A-Sh,    6,       12,    16,    13,       105,        41, 0.07647929
            A-Double,    6,        6,    16,    14,        67,        28, 0.0288633
           T-Classic,    6,       24,    11,     7,       159,        56, 0.0185144
         T-FirstLast,    6,       12,    11,     8,        85,        31, 0.0204075
       T-FirstSecond,    6,       12,    11,     8,       105,        41, 0.00871
                T-Sh,    6,       12,    11,     8,        89,        33, 0.0126144
            T-Double,    6,        6,    11,     9,        77,        33, 0.0075048
           A-Classic,    7,       32,    19,    14,       519,       228, 0.0485801
         A-FirstLast,    7,       16,    19,    15,       257,       113, 0.0193121
       A-FirstSecond,    7,       16,    19,    15,       285,       127, 0.0601649
                A-Sh,    7,       16,    19,    15,       267,       118, 0.12252969
            A-Double,    7,        8,    19,    16,       239,       112, 0.0495119
           T-Classic,    7,       32,    13,     8,       497,       217, 0.032449
         T-FirstLast,    7,       16,    13,     9,       291,       130, 0.0368366
       T-FirstSecond,    7,       16,    13,     9,       249,       109, 0.0213087
                T-Sh,    7,       16,    13,     9,       199,        84, 0.0199326
            T-Double,    7,        8,    13,    10,       121,        53, 0.008088601
           A-Classic,    8,       40,    22,    16,      1931,       926, 0.1641355
         A-FirstLast,    8,       20,    22,    17,      1279,       620, 0.1541011
       A-FirstSecond,    8,       20,    22,    17,      1133,       547, 0.1224318
                A-Sh,    8,       20,    22,    17,       747,       354, 0.060001
            A-Double,    8,       10,    22,    18,       637,       309, 0.1064366
           T-Classic,    8,       40,    15,     9,      1469,       695, 0.121458
         T-FirstLast,    8,       20,    15,    10,       985,       473, 0.118123904
       T-FirstSecond,    8,       20,    15,    10,      1001,       481, 0.14599699
                T-Sh,    8,       20,    15,    10,       809,       385, 0.074043
            T-Double,    8,       10,    15,    11,       649,       315, 0.0688478
           A-Classic,    9,      120,    25,    18,      5765,      2763, 0.287739
         A-FirstLast,    9,       60,    25,    19,      3665,      1773, 0.23130089
